지점코드,지점명,위도,경도,고도,설치주소,관측시작일
330846A001,천안시 목천읍,36.77527,127.20721,112,충청남도 천안시 동남구 목천읍 목천안터1길 15,2013-11-19
323891D002,완주군 이서면,35.82881,127.04559,32,전라북도 전주시 완주군 이서면 국립농업과학원,2013-11-21
695909B001,제주시 상귀길,33.45941,126.40391,102,제주특별자치도 제주시 애월읍 상귀길 173,2007-01-01
695907A001,제주시 월각로,33.37691,126.32979,308,제주특별자치도 제주시 애월읍 월각로 563-20,2007-01-01
412040A002,고양시 덕양구,37.64918,126.87036,39,경기도 고양시 덕양구 고양대로 1695 (원흥동),2013-08-24
695971A001,제주시 김녕리,33.5502,126.75055,36,제주특별자치도 제주시 구좌읍 김녕남6길 8,2007-01-01
535873B003,나주시 신포면,35.02493,126.82454,26,전라남도 나주시 신포면 세남로 1508,2013-06-18
441707D001,수원시 서둔동,37.2736,126.99299,46,경기도 수원시 권선구 수인로 84 (서둔동),2013-03-21
536824B002,해남군 옥천면,34.58164,126.65029,28,전라남도 해남군 옥천면 용정리길 20,2013-05-23
536806A001,해남군 삼산면,34.52835,126.55962,-1,전남 해남군 삼산면 봉학리 99-48 (해남읍 땅끝대로 106),2013-05-23
534844A001,무안군 현경면,35.02855,126.44567,67,전라남도 무안군 현경면 현화리 96-21,2013-01-25
426170A001,안산시 상록구,37.30035,126.84454,23,경기도 안산시 상록구 항가울로 222 (사동),2012-12-17
770270A001,영천시 오미동,35.99077,128.9253,110,경상북도 영천시 천문로 622-13 (오미동),2012-12-02
336812A001,아산시 염치읍,36.82573,126.96796,10,충남 아산시 염치읍 염치1길 40,2012-08-16
320862A001,논산시 광석면,36.22795,127.0856,31,충남 논산시 광석면 이사리 389-1,2012-08-14
664951A001,사천시 용현면,35.03698,128.06766,188,경남 사천시 용현면 신복리 500번지,2012-07-04
2109130,강릉 안반덕이,37.61906,128.73748,1099,강원도 강릉시 왕산면 대기4리 안반덕이,2012-07-12
755851A002,봉화군 봉성면,36.90123,128.77321,266,경북 봉화군 봉성면 금봉리 779,2006-06-01
255840A002,양구군 후리,38.17512,128.08334,457,강원도 양구군 해안면 후리 519,2013-05-22
255840A001,양구군 만대리,38.15287,128.08108,501,강원도 양구군 해안면 만대리 2524,2012-06-18
2329410,평창군 진부면,37.67005,128.5943,584,강원도 평창군 진부면 간평1리 774번지,2012-06-09
472830A001,남양주 진건읍,37.64977,127.19327,88,경기도 남양주시 진건읍 사릉로 234-46,2012-06-05
678806A001,합천군 용주면,35.55128,128.11239,49,경남 합천군 용주면 고품리 910-292,2011-10-01
712851A001,경산시 자인면,35.81709,128.81137,62,경상북도 경산시 자인면 계정길 7,2001-05-01
137180A001,서울시 서초구,37.46541,127.08996,58,서울특별시 서초구 헌인릉1길 83-9 (내곡동),2012-05-26
240813A001,동해시 북평동,37.4852,129.11882,55,강원도 동해시 북평동 274-18,2012-05-10
